# Export date and time: Wed Jul 9 18:47:25 2025
# Name: 2025_07_09_25nm_270
#    Date: Wed Jul 9 17:05:25 2025
#    Weight: 7.2 mg
Temperature (°C)	Corrected delta m (2025_07_09_25nm_270) (mg)
28.09	-0.02
29.09	-0.01
30.09	-0.01
31.09	-0.00
32.09	-0.01
33.09	0.00
34.09	0.01
35.09	0.01
36.09	0.00
37.09	0.00
38.09	-0.00
39.09	-0.01
40.09	-0.01
41.09	-0.01
42.09	-0.01
43.09	-0.01
44.09	-0.01
45.09	-0.00
46.09	-0.00
47.09	-0.02
48.09	-0.01
49.09	-0.01
50.09	-0.01
51.09	-0.02
52.09	-0.02
53.09	-0.02
54.09	-0.02
55.09	-0.01
56.09	-0.02
57.09	-0.02
58.09	-0.02
59.09	-0.02
60.09	-0.02
61.09	-0.03
62.09	-0.02
63.09	-0.02
64.09	-0.03
65.09	-0.02
66.09	-0.03
67.09	-0.03
68.09	-0.03
69.09	-0.03
70.09	-0.03
71.09	-0.03
72.09	-0.03
73.09	-0.04
74.09	-0.03
75.09	-0.04
76.09	-0.04
77.09	-0.04
78.09	-0.04
79.09	-0.04
80.09	-0.05
81.09	-0.04
82.09	-0.04
83.09	-0.05
84.09	-0.05
85.09	-0.04
86.09	-0.04
87.09	-0.05
88.09	-0.04
89.09	-0.05
90.09	-0.05
91.09	-0.05
92.09	-0.04
93.09	-0.05
94.09	-0.05
95.09	-0.06
96.09	-0.06
97.09	-0.05
98.09	-0.05
99.09	-0.05
100.09	-0.05
101.09	-0.05
102.09	-0.05
103.09	-0.04
104.09	-0.05
105.09	-0.05
106.09	-0.05
107.09	-0.05
108.09	-0.05
109.09	-0.06
110.09	-0.04
111.09	-0.05
112.09	-0.06
113.09	-0.05
114.09	-0.04
115.09	-0.05
116.09	-0.04
117.09	-0.05
118.09	-0.05
119.09	-0.06
120.09	-0.06
121.09	-0.06
122.09	-0.06
123.09	-0.06
124.09	-0.05
125.09	-0.06
126.09	-0.06
127.09	-0.06
128.09	-0.06
129.09	-0.06
130.09	-0.06
131.09	-0.07
132.09	-0.07
133.09	-0.06
134.09	-0.05
135.09	-0.06
136.09	-0.06
137.09	-0.06
138.09	-0.06
139.09	-0.07
140.09	-0.07
141.09	-0.07
142.09	-0.06
143.09	-0.07
144.09	-0.07
145.09	-0.07
146.09	-0.07
147.09	-0.07
148.09	-0.07
149.09	-0.08
150.09	-0.07
151.09	-0.07
152.09	-0.07
153.09	-0.06
154.09	-0.06
155.09	-0.06
156.09	-0.06
157.09	-0.06
158.09	-0.07
159.09	-0.06
160.09	-0.06
161.09	-0.07
162.09	-0.06
163.09	-0.07
164.09	-0.06
165.09	-0.06
166.09	-0.07
167.09	-0.06
168.09	-0.06
169.09	-0.06
170.09	-0.05
171.09	-0.06
172.09	-0.04
173.09	-0.04
174.09	-0.05
175.09	-0.05
176.09	-0.04
177.09	-0.05
178.09	-0.05
179.09	-0.06
180.09	-0.05
181.09	-0.06
182.09	-0.06
183.09	-0.05
184.09	-0.05
185.09	-0.04
186.09	-0.05
187.09	-0.05
188.09	-0.05
189.09	-0.05
190.09	-0.06
191.09	-0.06
192.09	-0.07
193.09	-0.06
194.09	-0.06
195.09	-0.06
196.09	-0.05
197.09	-0.05
198.09	-0.05
199.09	-0.05
200.09	-0.05
201.09	-0.05
202.09	-0.05
203.09	-0.05
204.09	-0.04
205.09	-0.05
206.09	-0.05
207.09	-0.05
208.09	-0.06
209.09	-0.05
210.09	-0.06
211.09	-0.06
212.09	-0.06
213.09	-0.06
214.09	-0.05
215.09	-0.06
216.09	-0.05
217.09	-0.05
218.09	-0.05
219.09	-0.06
220.09	-0.06
221.09	-0.06
222.09	-0.05
223.09	-0.05
224.09	-0.07
225.09	-0.07
226.09	-0.07
227.09	-0.08
228.09	-0.08
229.09	-0.08
230.09	-0.09
231.09	-0.09
232.09	-0.10
233.09	-0.10
234.09	-0.08
235.09	-0.09
236.09	-0.10
237.09	-0.10
238.09	-0.09
239.09	-0.10
240.09	-0.10
241.09	-0.10
242.09	-0.10
243.09	-0.10
244.09	-0.10
245.09	-0.10
246.09	-0.11
247.09	-0.10
248.09	-0.10
249.09	-0.10
250.09	-0.10
251.09	-0.10
252.09	-0.10
253.09	-0.10
254.09	-0.11
255.09	-0.11
256.09	-0.10
257.09	-0.10
258.09	-0.11
259.09	-0.10
260.09	-0.10
261.09	-0.09
262.09	-0.10
263.09	-0.12
264.09	-0.12
265.09	-0.12
266.09	-0.11
267.09	-0.11
268.09	-0.12
269.09	-0.12
270.09	-0.13
271.09	-0.13
272.09	-0.13
273.09	-0.13
274.09	-0.12
275.09	-0.13
276.09	-0.13
277.09	-0.14
278.09	-0.14
279.09	-0.15
280.09	-0.15
281.09	-0.14
282.09	-0.13
283.09	-0.13
284.09	-0.13
285.09	-0.13
286.09	-0.14
287.09	-0.15
288.09	-0.15
289.09	-0.15
290.09	-0.15
291.09	-0.14
292.09	-0.14
293.09	-0.16
294.09	-0.16
295.09	-0.15
296.09	-0.16
297.09	-0.16
298.09	-0.15
299.09	-0.15
300.09	-0.15
301.09	-0.15
302.09	-0.15
303.09	-0.16
304.09	-0.15
305.09	-0.14
306.09	-0.14
307.09	-0.15
308.09	-0.15
309.09	-0.15
310.09	-0.15
311.09	-0.14
312.09	-0.15
313.09	-0.15
314.09	-0.14
315.09	-0.15
316.09	-0.15
317.09	-0.15
318.09	-0.15
319.09	-0.15
320.09	-0.15
321.09	-0.15
322.09	-0.15
323.09	-0.15
324.09	-0.16
325.09	-0.15
326.09	-0.14
327.09	-0.15
328.09	-0.15
329.09	-0.15
330.09	-0.15
331.09	-0.15
332.09	-0.15
333.09	-0.16
334.09	-0.16
335.09	-0.16
336.09	-0.15
337.09	-0.15
338.09	-0.16
339.09	-0.15
340.09	-0.15
341.09	-0.16
342.09	-0.16
343.09	-0.16
344.09	-0.16
345.09	-0.18
346.09	-0.16
347.09	-0.17
348.09	-0.16
