E(V),I(A)
0.5000,0.000012
0.5214,0.000016
0.5429,0.000021
0.5643,0.000028
0.5857,0.000037
0.6071,0.000049
0.6286,0.000064
0.6500,0.000084
0.6714,0.000110
0.6929,0.000143
0.7143,0.000186
0.7357,0.000241
0.7571,0.000312
0.7786,0.000403
0.8000,0.000520
0.8214,0.000669
0.8429,0.000859
0.8643,0.001100
0.8857,0.001405
0.9071,0.001790
0.9286,0.002274
0.9500,0.002879
0.9714,0.003632
0.9929,0.004565
1.0143,0.005717
1.0357,0.007130
1.0571,0.008860
1.0786,0.010962
1.1000,0.013500
1.1214,0.016556
1.1429,0.020217
1.1643,0.024578
1.1857,0.029750
1.2071,0.035852
1.2286,0.043013
1.2500,0.051373
1.2714,0.061083
1.2929,0.072310
1.3143,0.085241
1.3357,0.100085
1.3571,0.117071
1.3786,0.136450
1.4000,0.158500
1.4214,0.183529
1.4429,0.211877
1.4643,0.243919
1.4857,0.280068
1.5071,0.320782
1.5286,0.366566
1.5500,0.418000
